lat,long,alt
45.706108,21.246362,100
45.706093,21.246351,99
45.706142,21.246389,98
45.706158,21.246416,96
45.706130,21.246389,95
45.706085,21.246389,94
45.706046,21.246354,93
45.706069,21.246408,90
45.706046,21.246384,88
45.706025,21.246274,87
45.706048,21.246314,85
45.706069,21.246351,84
45.706069,21.246432,82
45.706113,21.246504,80
45.706123,21.246413,78
45.706100,21.246357,77
45.706084,21.246397,76
45.706048,21.246346,72
45.706046,21.246394,70
45.706033,21.246443,67
45.706031,21.246381,66
45.706016,21.246306,64
45.705951,21.246169,63
45.705986,21.246206,60
45.706001,21.246282,58
45.706044,21.246206,55
